accountId,paraId,amount,block_num
14dup2KjtKPeLE2LxpvWNSoauzrp1wzedFVw9Amu33qHHZBu,2040,280000000000,10190174
12axftwKo6rqnYvD7m6zY6FjW1uncm5sgKsMuMKr5z5eji9h,2040,1505000000000,10190169
14fgEfvWc1tJcQCccUpkFHRUyrVnmRkF3f1NRYKFhntpb69r,2040,850000000000,10190147
15JymqShF54JkMXVC896tiF3NhdrVufyAzi2whNNT6z3rBJY,2040,360000000000,10190138
167VjfgXsnVdJfEsKRXXDwwBs5dyUcZ9LqNmPUoz5xtEMKuh,2040,200000000000,10190112
13NHrckmiBgfTtUerzZdmPXvTqiDzFwvwMLgb6SGx4eQZH3o,2040,200000000000,10190104
1Ru3QeBtHuByXii1C6Z48g6CyTctUU7LmHdE8U4ECPhetCG,2040,650000000000,10190082
1344zprT7A4VFrQ46GJycLrjhBoYjf1RcsjbRLmk5DtsYshV,2040,520437978961000,10190067
155N17juN4U75nvZxGvvV86WYMQayDJkEU6NYadUPmbuxhtu,2040,100000000000,10190030
15Ghd7dbSkZjhdB54Lw2VQYqCuKy5p7seLLExKstxCHq9AuF,2040,110000000000,10190027
15ANrgMKRYJe4TbFL19PjxUrNAwEwUeZhF8NLxioP7NvEX7t,2040,150000000000,10190009
1jaMfMqgbXCv6SrvrBMVwiCBTGYWqweDEAXAru4YJywaE1M,2040,50000000000,10189971
1yA4xfwJ5tk33WVTq2sf4XGo43MFoFyEwHsHy4PYhHNLSWB,2040,100000000000,10189954
15MZLAQCu1wTguw3PrF4ucS1rJWjQvCTVXPK5fGybHaoJS1J,2040,561113000000,10189870
15iXwLTKWFXTSbvuZ9jWq1y8dNsCyM98jbj8JeVXGDxa2qiH,2040,50000000000,10189798
12zucDZREu7VTjVp5TzjWMqKnGZvMWv6kAS4oBCUMdaJGTgK,2040,100000000000,10189789
163B1pavo62vi4dq5LZTiXCGW8r1thr7CH7eaiCDCE9UYwuT,2040,916000000000,10189774
147wp4BCx5gV6kXtNn25E8HqhsXQy4uki39K3YGd5tkgk4oP,2040,10000000000000,10189752
13MiShWZeRcVrEgkmS6GdRyASZpFdSBseQiWBnEPXxmWa3UV,2040,120000000000,10189689
13afyec2xomVj64UZXwj4zBMgyu64ySdKsr1mv93XafefNer,2040,2050000000000,10189669
13rWYJ2DWj4ZQrZWfVJRJXqVSaQfd34QmRJrsJdSsApnnmK,2040,260235966720469,10189631
14AvVRPosLAjnDYYzV6YcvNsqGM3EdaN1cUp137s155XtbvE,2040,50000000000,10189551
12BVEUJqzLn9bf8BdHVkJvEwotGsUmLy8GkUhZajCV1VJEdG,2040,80000000000,10189510
14DJd1GJYYDWxnxFBVgZYBimaaUdYWM17kyJPZFvfUdjX8Es,2040,1250000000000,10189425
14AMZ3gw4tRsrdp78i4MmHZ8EFbXTMfuXGQMEC3t1GoqLboH,2040,554555421140349,10189320
1mrf4reEVgNHU96LAYtXsRU4RPpuettBP3u5ifEP2NWwUnt,2040,540000000000,10189242
167r7zCPjxSF4kAz8cS1LC6dJPMZbghySvckLrsCv9EKmc5j,2040,100000000000,10189201
12ut27L4okigkaxBEsd57cPNHpQPnvNnx2fGAnUVZx1uf86e,2040,80000000000,10189187
13g3DqQCVUbknJujaspaeSQjeB3f6orMvqkYXBQ1MVfXYh5e,2040,1000000000000,10189187
12NLKhZ17eGVGpMKs7t42wTBmQB3ayh8GWCwZSqQ8snxhHvv,2040,250000000000,10189170
12YR7AhWyeRugKCvGpNWmioygVaAzK8v8b1G3ypeRoToW6LP,2040,50000000000,10189169
14EPC67wmYeZQqsQF5wafv71f5xW5rWW36YALWt7YktrHuxd,2040,50000000000,10189161
1EikbQyUhbrW9jAqFhLTt6fd6HfP58T37Tywsa44R72i1JC,2040,3000000000000,10189135
1298y1MbqL3xYqnARjXaJJetcBANPpMRNM1GmRRh4N2Rogrf,2040,100200000000,10189135
12F52gNr3b2VyM6oQAmetVMLX2qD2acjZha5rmADRNNraSuf,2040,100200000000,10189134
16XgmLkjHLM3SoMfzpFPQqLZ9tNTxggHwsixNz6rdE9oZf4q,2040,100200000000,10189131
152Tgro7Hyojwfnv4bwrdnFqBmpXVyCHQTuBJr5N1p48XFmT,2040,100200000000,10189128
14mnnwtXoMzrVuVqobBnvhMGQ33o8d4niyvDAGEx4GWfkC46,2040,100200000000,10189126
12CRwJWvCRKVgUjZ3GDgsAEAuPjPMB6EeYuN2dwF55pTtkE5,2040,100200000000,10189125
13BGZEgH732Rny3NWMcSWnXkTVPNYg6vDSCrNzMhUrqgaxPf,2040,100200000000,10189123
129HrbjEr11no1CfCkdUBFBpdQg6F5yDShddg752iyn82Yju,2040,100200000000,10189121
12TqQCyKxgha36sgjdgHrWaV1UyiEbJVxrRbHBGyAQdb1khc,2040,100200000000,10189118
1EvbcMGyHq8QjXxFrscA8brcTHhTLnJ5eo87vCtoZA8pynS,2040,100200000000,10189116
13gyXMmEi37jPev8NWJ3LzvyLmg2FvzrXvGe4kxRQmckwe8L,2040,100000000000,10189028
1KqATutpxQjiTYukFC3CjtQH2c8EibJUad42SVG8Vi8BMxc,2040,50000000000,10189022
15o2MWCswczzv3BRwe8jAnWzCFpCCrjYtSWz8WRZyrbr1cp2,2040,4597000000000,10188988
1bjkPJ3YsGaZWoZBL7BhmmcpYiNWhGcx1nKCMLwaKR6iJEZ,2040,50000000000,10188934
14EFBMwdhA5mgwPA5PmeNnuCdFqFm1iNy5HTVYikbKNwidS2,2040,1190000000000,10188930
12pveVa6g97U7z5uK89fWNfNKpduzJeqPhtsU4PiiohKeUza,2040,1250000000000,10188899
14DKWGfadDeYQpUWHySWdQboKoLFtrgMd9f12AFTi5y6ZZ8W,2040,1370000000000,10188795
1Ep6VceD2WCVwB116eDP6nozSgyxSWWpE2HcECyJFK4fQ3M,2040,200000000000,10188766
15DRqTqd7FGmdxqQvfMLUNTC2m5Dp319k1iJc6YLoWxLZmpY,2040,50000000000,10188742
16PABfFqh4aEk89NWaKYntmkDYG4avVvVyVNA1tm795FjLsr,2040,100000000000,10188720
121jcddzr57sM36LR8DmPkufCATzWVUjvvrJzUktMj3NCZkw,2040,50000000000,10188695
16ih8PXNXWj48HZzAfaGibhhT3yTCBnsZMRdWXp3f8CwAp1e,2040,25110000000000,10188675
13bhDb9hQ3gf7RBijp5asEmsWKFgPr7ctso2WrGWGtn7RzBS,2040,100000000000,10188649
14ihGJD1BgKfQYzwdFpoh2pJADpuU5nnrH4u3KXHPbRoVEKe,2040,50000000000,10188622
13TZJ3Sc5LeyeGGDMYyHwjFs71xGwaJckkTKegN7v3ERZACf,2040,50000000000,10188579
14j7KDYVrzqaDwGt6iufBsuMjcRuEnyKGpahqQpuuWoFVRxD,2040,50000000000,10188562
16CqwZWLDGwRZs2EhNvHQYQsD2hVEbEvjgG2dRyGbL5ryBtu,2040,50000000000,10188509
